*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.6.000 -Release  SEP 21, 2026 21:32:41

*RUN   1        : Continuous Flooding (CF)  RICER048 BDAR2601    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : BDAR2601 RI BORO RICE CF VS AWD (ARONGHATA)
 DATA PATH      : C:\DSSAT48\Rice\
 TREATMENT  1   : Continuous Flooding (CF)  RICER048
  
!YR        Days  Days              Leaf  <--------- Dry Weight -----------> Grain Kernl              <------ Stress (0-1) ------>   Leaf  Shell  Spec  <-Canopy->  Root  <-- Root Length Density ---><Senesced Mat>   Phot  
!  and    after after  Leaf  Grow  Area  <------------ kg/Ha ------------->   per  wght  Harv Tillr  <--- Water ---->                Nit   -ing  Leaf  Hght Brdth Depth  <---- cm3/cm3 of soil -----> <--(kg/ha)-->  Therm  
!     DOY start plant   Num Stage Index  Leaf  Stem Grain  Root Panic  Crop    m2    mg  Indx   No.  Phot  Grow  Excs  Nitr Potas     %      %   Area    m     m     m    0-5  5-15 15-30 30-45 45-60   Surf   Soil   Days  
@YEAR DOY   DAS   DAP  L#SD  GSTD  LAID  LWAD  SWAD  GWAD  RWAD  EWAD  CWAD  G#AD  GWGD  HIAD  T#AD  WSPD  WSGD  EWSD  NSTD  KSTD   LN%D   SH%D  SLAD  CHTD  CWID  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  SNW0C  SNW1C   DTTC  
 2026 072    58    57  11.0     3  0.05   103    43     0   100     0   146     0   0.0 0.000    91 0.000 0.000 0.000 0.368 0.000   2.30   0.00  50.7  0.00  0.00  0.60  1.22  0.71  0.14  0.01  0.00     35      0    782
 2026 073    59    58  12.0     3  0.05   104    48     0   100     0   152     0   0.0 0.000    94 0.000 0.000 0.000 0.345 0.000   2.23   0.00  50.2  0.00  0.00  0.60  1.21  0.71  0.14  0.01  0.00     36      0    799
 2026 074    60    59  12.0     3  0.05   106    52     0   101     0   158     0   0.0 0.000    91 0.000 0.000 0.000 0.375 0.000   2.26   0.00  49.5  0.00  0.00  0.60  1.21  0.71  0.15  0.01  0.00     38      0    817
 2026 075    61    60  12.0     3  0.05   108    57     0   101     0   165     0   0.0 0.000    87 0.000 0.000 0.000 0.344 0.000   2.28   0.00  49.0  0.00  0.00  0.60  1.21  0.71  0.15  0.01  0.00     39      0    834
 2026 076    62    61  12.0     3  0.05   110    62     0   101     0   173     0   0.0 0.000    84 0.000 0.000 0.000 0.302 0.000   2.29   0.00  48.9  0.00  0.00  0.60  1.21  0.71  0.15  0.01  0.00     41      0    851
 2026 077    63    62  12.0     3  0.06   113    68     0   102     0   181     0   0.0 0.000    82 0.000 0.000 0.000 0.264 0.000   2.22   0.00  49.0  0.00  0.00  0.60  1.21  0.72  0.15  0.01  0.00     43      0    868
 2026 078    64    63  12.0     3  0.06   115    74     0   102     0   189     0   0.0 0.000    80 0.000 0.000 0.000 0.279 0.000   2.22   0.00  49.0  0.00  0.00  0.60  1.21  0.72  0.16  0.01  0.00     44      0    884
 2026 079    65    64  12.0     3  0.06   118    79     0   102     0   197     0   0.0 0.000    78 0.000 0.000 0.000 0.241 0.000   2.25   0.00  49.1  0.00  0.00  0.60  1.20  0.72  0.16  0.01  0.00     46      0    901
 2026 080    66    65  13.0     3  0.06   121    84     0   103     0   205     0   0.0 0.000    77 0.000 0.000 0.000 0.000 0.000   2.19   0.00  49.2  0.00  0.00  0.60  1.20  0.72  0.16  0.01  0.00     48      0    916
 2026 081    67    66  13.0     3  0.06   123    92     0   104     0   215     0   0.0 0.000    76 0.000 0.000 0.000 0.205 0.000   2.11   0.00  49.1  0.00  0.00  0.60  1.20  0.73  0.16  0.01  0.00     50      0    931
